Section_ID,Section_Title,Subtopic,Content_Summary,Reference_Context
1,Corporate Overview,Vision,Vedanta aims to improve operational excellence,Corporate
2,Production Excellence,SMART POT,Yield improved by ~10%,Manufacturing
3,Capex Planning,Expansion,₹2400 Cr smelter expansion,Finance
4,CSR Programs,Community,Rural engagement initiatives,CSR
5,HR Initiatives,Engagement,Engagement score improved,HR
6,Digital Transformation,ERP,SAP S/4 rollout,IT
7,Procurement,Vendor Mgmt,Central vendor strategy,Operations
8,Sustainability,ESG,Carbon reduction initiatives,ESG
9,Production KPI,OEE,OEE at ~91%,Manufacturing
10,Finance Review,Cost,Working capital improved,Finance
,,,,
11,Service Ops Overview,Structure,Service teams across 10+ plants,Service
12,Service Demand,Volume,Stable demand with seasonal spikes,Service
,,,,
13,Process Mapping,Flow,End-to-end complaint lifecycle,Service
14,Process Mapping,Steps,Registration + resolution ~45% of TAT,Service
15,Process Mapping,Delays,Approval adds ~8–10 days,Service
16,Process Mapping,Routing,Reassignment delays observed,Service
,,,,
17,Staffing Structure,Roles,L1/L2 overlap across plants,Service
18,Staffing Structure,Overlap,Overlap estimated ~18–20%,Service
19,Staffing Structure,Technicians,Night shift underutilization,Service
20,Staffing Structure,Distribution,Uneven BU workload,Service
,,,,
21,Shift Analysis,Day,Utilization ~70–75%,Service
22,Shift Analysis,Night,Idle capacity ~15–20%,Service
23,Shift Analysis,Peak,Peak inflates utilization,Service
24,Shift Analysis,OffPeak,Idle time accumulation,Service
,,,,
25,Utilization Drivers,Training,Training inflates utilization,Service
26,Utilization Drivers,Seasonality,Seasonal distortions,Service
27,Utilization Drivers,NonCore,Admin work included,Service
,,,,
28,TAT Analysis,Registration,Batching delays,Service
29,TAT Analysis,Resolution,Handoffs delay resolution,Service
30,TAT Analysis,Closure,Approval dependencies,Service
31,TAT Analysis,Overall,Avg ~75 days,Service
,,,,
32,Improvement Areas,Role,Role consolidation opportunity,Service
33,Improvement Areas,Shift,Shift redesign opportunity,Service
34,Improvement Areas,Process,Approval reduction potential,Service
35,Improvement Areas,Workload,Better allocation needed,Service
,,,,
36,Scenario Analysis,Optimization,Combined impact ~19–21%,Service
37,Scenario Analysis,Risk,Low risk if phased,Service
38,Scenario Analysis,Timeline,12-month rollout feasible,Service
,,,,
39,IT Systems,Ticketing,Routing inefficiency due to legacy system,IT
40,Compliance,Audit,Audit workload adds overhead,Compliance
41,HR Training,Upskilling,Training ongoing,HR
42,Finance Allocation,Budget,Cost linked to BU performance,Finance
43,Procurement,Tools,Tools not constraint,Operations
,,,,
44,Operations Cross-Link,Manufacturing,No major plant impact,Manufacturing
45,Conclusion Summary,Insight,Drivers: overlap + shift imbalance,Service
46,Conclusion Summary,Impact,~20% optimization feasible,Service
47,Conclusion Summary,TAT,~60 days achievable,Service
48,Conclusion Summary,Utilization,~80%+ achievable,Service
49,Appendix,Historical,FY24 similar trends,Reference
50,Appendix,Org,Org structure details,Service
