Posting_Month,Plant,Cost_Category,Item_Code,Vendor,UoM,Quantity,Unit_Price_USD,Extended_Spend_USD,Incoterm,Payment_Terms,Contract_ID,PO_Number,Requester_CostCenter,GL_Code,Notes
2024-01,PHX1 (Phoenix),Packaging,Corrugated_Box,Delta Corrugate,ea,41666,0.6709,27953.72,FOB,Net 45,C-24-017,PO175954,CC-168,541200,Rush
2024-01,PHX1 (Phoenix),Packaging,Pallet_48x40,PalletPro,ea,1336,11.57,15457.52,CPT,Net 30,C-24-017,PO190122,CC-155,722100,
2024-01,PHX1 (Phoenix),Packaging,Void_Fill_Paper,PaperNest,kg,2362,1.2071,2851.17,FOB,Net 60,C-23-099,PO161981,CC-172,541200,
2024-01,DFW2 (Dallas),Packaging,Void_Fill_Paper,PaperNest,kg,2585,1.1183,2890.81,CPT,Net 60,C-23-099,PO151998,CC-128,541200,Backorder
2024-01,DFW2 (Dallas),Logistics,Inbound_Freight,RoadHaul,shipment,210,409.13,85917.3,DAP,Net 45,C-24-031,PO666950,CC-115,611000,Backorder
2024-01,DFW2 (Dallas),Packaging,Corrugated_Box,SunCarton LLC,ea,45783,0.652,29850.52,FOB,Net 30,C-24-031,PO490487,CC-112,541200,Backorder
2024-01,ATL3 (Atlanta),Logistics,Inbound_Freight,RoadHaul,shipment,129,447.62,57742.98,CPT,Net 30,C-23-099,PO813451,CC-168,722100,Rush
2024-01,ATL3 (Atlanta),Packaging,Stretch_Film,PolyMax,roll,411,54.45,22378.95,CPT,Net 45,C-24-044,PO414328,CC-131,512300,Ops adj.
2024-01,ATL3 (Atlanta),Packaging,Pallet_48x40,PalletPro,ea,1144,11.52,13178.88,FOB,Net 60,C-24-044,PO650708,CC-163,611000,Ops adj.
2024-02,PHX1 (Phoenix),Packaging,Void_Fill_Paper,GreenCushion,kg,2428,1.1242,2729.56,DAP,Net 60,C-24-017,PO223800,CC-165,722100,
2024-02,PHX1 (Phoenix),Logistics,Inbound_Freight,BlueStar Freight,shipment,161,334.57,53865.77,FOB,Net 45,C-23-099,PO141111,CC-185,541200,Backorder
2024-02,PHX1 (Phoenix),Packaging,Pallet_48x40,TimberStack,ea,884,10.32,9122.88,DAP,Net 60,C-24-044,PO723241,CC-163,722100,
2024-02,DFW2 (Dallas),Packaging,Stretch_Film,WrapCo,roll,334,67.95,22695.3,DAP,Net 45,C-24-017,PO163616,CC-193,611000,Ops adj.
2024-02,DFW2 (Dallas),Packaging,Void_Fill_Paper,GreenCushion,kg,2310,1.383,3194.73,DAP,Net 60,C-23-099,PO801133,CC-144,541200,Pilot
2024-02,DFW2 (Dallas),Packaging,Pallet_48x40,TimberStack,ea,767,11.78,9035.26,FOB,Net 60,C-24-017,PO617674,CC-107,512300,Rush
2024-02,ATL3 (Atlanta),Packaging,Corrugated_Box,BoxWorks Inc.,ea,27993,0.7447,20846.39,CPT,Net 30,C-23-099,PO509940,CC-163,541200,
2024-02,ATL3 (Atlanta),Logistics,Inbound_Freight,BlueStar Freight,shipment,131,402.12,52677.72,DAP,Net 60,C-24-044,PO243577,CC-155,611000,Ops adj.
2024-02,ATL3 (Atlanta),Packaging,Pallet_48x40,TimberStack,ea,1246,10.94,13631.24,DAP,Net 60,C-23-099,PO341960,CC-119,541200,
2024-03,PHX1 (Phoenix),Packaging,Pallet_48x40,PalletPro,ea,1330,10.9,14497.0,FOB,Net 60,C-24-031,PO112649,CC-162,512300,Rush
2024-03,PHX1 (Phoenix),Packaging,Corrugated_Box,Delta Corrugate,ea,40406,0.7728,31225.76,FOB,Net 30,C-23-099,PO660559,CC-147,611000,
2024-03,PHX1 (Phoenix),Packaging,Stretch_Film,SecureStretch,roll,300,55.88,16764.0,CPT,Net 60,C-24-017,PO578825,CC-199,722100,Pilot
2024-03,DFW2 (Dallas),Packaging,Pallet_48x40,TimberStack,ea,1295,11.23,14542.85,DAP,Net 30,C-23-099,PO765100,CC-151,541200,
2024-03,DFW2 (Dallas),Logistics,Inbound_Freight,RoadHaul,shipment,123,439.6,54070.8,FOB,Net 45,C-24-031,PO215268,CC-143,541200,
2024-03,DFW2 (Dallas),Packaging,Stretch_Film,WrapCo,roll,308,57.44,17691.52,CPT,Net 30,C-24-017,PO481272,CC-178,541200,
2024-03,ATL3 (Atlanta),Packaging,Stretch_Film,WrapCo,roll,265,60.0,15900.0,CPT,Net 45,C-24-031,PO765226,CC-132,611000,Backorder
2024-03,ATL3 (Atlanta),Packaging,Pallet_48x40,TimberStack,ea,1437,11.05,15878.85,DAP,Net 30,C-24-017,PO990174,CC-162,722100,Pilot
2024-03,ATL3 (Atlanta),Packaging,Corrugated_Box,Delta Corrugate,ea,14013,0.8281,11604.17,DAP,Net 30,C-24-031,PO207151,CC-195,611000,Ops adj.
2024-04,PHX1 (Phoenix),Packaging,Stretch_Film,PolyMax,roll,294,46.48,13665.12,DAP,Net 60,C-24-031,PO641415,CC-102,512300,Backorder
2024-04,PHX1 (Phoenix),Packaging,Void_Fill_Paper,GreenCushion,kg,1796,1.1474,2060.73,FOB,Net 60,C-24-017,PO894970,CC-167,611000,Ops adj.
2024-04,PHX1 (Phoenix),Packaging,Corrugated_Box,BoxWorks Inc.,ea,58540,0.7238,42371.25,CPT,Net 45,C-24-044,PO275156,CC-145,512300,Backorder
2024-04,DFW2 (Dallas),Packaging,Void_Fill_Paper,GreenCushion,kg,2445,1.2547,3067.74,CPT,Net 30,C-24-031,PO945234,CC-130,722100,Ops adj.
2024-04,DFW2 (Dallas),Packaging,Stretch_Film,WrapCo,roll,336,55.42,18621.12,FOB,Net 60,C-23-099,PO472834,CC-193,541200,
2024-04,DFW2 (Dallas),Packaging,Pallet_48x40,TimberStack,ea,1039,9.91,10296.49,DAP,Net 45,C-24-031,PO826161,CC-177,611000,Pilot
